company,type,contact_name,title,email,phone,url,location,containers_per_mo,source,notes
Commodity Forwarders Inc (CFI),Forwarder,,,,,cfiperishables.com/contact,"Los Angeles, CA",150,Web search,"Perishable specialist since 1974; 15 US locations. Reefer-heavy. Tier-1 target."
Seafrigo America,Forwarder,,,,,seafrigo-america.com,"Newark, NJ",120,Web search,"Perishable + seafood customs clearance specialist. Strong fit."
Zarach Logistics,Forwarder,,,,,zarachlogistics.com/industries/perishable-foods-seafood,"Miami, FL",80,Web search,"Perishable foods & seafood logistics focus."
Share Logistics (Fresh),Forwarder,,,,,sharelogistics.com/fresh,"Miami, FL",70,Web search,"Perishable & fresh-produce logistics division."
LCX Fresh,Forwarder,,,,,lcxfresh.com,"Los Angeles, CA",60,Web search,"Cold chain perishable freight forwarding. Produce and reefer specialist."
NAX Group,Forwarder,,,,,naxgroup.com,"Miami, FL",90,Web search,"Dedicated food logistics team. Handles complex perishable imports."
Gallagher Transport International,Broker,,,,,gallaghertransport.com,"Los Angeles, CA",90,Web search,"LA/LB customs broker + freight forwarder. Good small/mid fit."
Packair Airfreight,Forwarder,,,,,packair.com,"Long Beach, CA",70,Web search,"Customs broker Long Beach; imports & exports."
AC Shipping,Forwarder,,,,973-732-1892,,"Newark, NJ",60,Web search,"34 Albert Ave, Newark NJ 07105. Small independent — strong fit."
AIT Worldwide Logistics (Newark),Forwarder,,,,,aitworldwide.com/locations/newark-new-jersey-2,"Newark, NJ",100,Web search,"In-house customs brokerage; Newark branch. Named perishables vertical."
BGI Worldwide Logistics,Forwarder,,,,,bgiworldwide.com,"New York, NY",50,Web search,"Supports small/mid businesses with air, ocean, multimodal."
Approved Forwarders,Forwarder,,,,,approvedforwarders.com,"Los Angeles, CA",80,Web search,"LA terminal-based forwarder. Import/export specialist."
Current International Freight,Broker,,,,,currentintlfreight.com,"Los Angeles, CA",40,Web search,"Customs brokerage + freight forwarding. 100% positive feedback."
Evans Network of Companies,Drayage,,,,,evansdelivery.com,"Philadelphia, PA",300,Web search,"Largest intermodal dray provider in US. 8,000+ power units. D&D exposure huge."
Gulf Winds International,Drayage,,,,,gwii.com,"Houston, TX",200,Web search,"Port Houston drayage + transloading. Major Gulf Coast carrier."
Beemac Trucking,Drayage,,,,,beemactrucking.com,"Pittsburgh, PA",150,Web search,"Port-focused drayage: Savannah, Charleston, Houston. Chassis detention exposure."
ContainerPort Group,Drayage,,,,,containerport.com,"Cleveland, OH",250,Web search,"One of largest drayage providers in LA/LB market. Intermodal specialist."
Container Transport,Drayage,,,,,containertransport.com,"Savannah, GA",80,Web search,"Port Savannah container drayage. Per diem exposure."
BOS Trucking,Drayage,,,,,,"Miami, FL",60,Web search,"Port of Miami drayage since 2006. Container transport statewide."
Transtar Trucking,Drayage,,,,,,"Miami, FL",50,Web search,"Family-owned since 1987. Port Miami container drayage."
Nighthawk Trucking,Drayage,,,,,,"Miami, FL",45,Web search,"Port Miami + FEC Railway drayage since 1993."
STG Logistics,Drayage,,,,,stgusa.com,"Carteret, NJ",350,Web search,"National intermodal + drayage carrier. Rail-to-road. Massive D&D exposure."
CenSea,Importer,,,,,censea.com,"Chicago, IL",80,Web search,"Family-owned since 1960. One of largest frozen seafood importers in US. Shrimp, fish fillets."
Stavis Seafood,Importer,,,,,stavisseafoods.com,"Boston, MA",50,Web search,"Boston-based seafood importer. Scallops, lobster, swordfish. Cold chain."
Quirch Foods,Importer,,,,,quirchfoods.com,"Miami, FL",100,Web search,"One of largest frozen seafood distributors & direct importers in US. Shrimp, fish fillets."
Pacific Seafood Group,Importer,,,,,pacificseafood.com,"Portland, OR",120,Web search,"75+ years. Fresh and frozen seafood — salmon, crab, shrimp. Major importer."
Ocean Beauty Seafoods,Importer,,,,,oceanbeauty.com,"Seattle, WA",90,Web search,"Largest seafood distributors in North America. Alaska sourcing + imports."
Sea Best (Rich Products),Importer,,,,,seabest.com,"Jacksonville, FL",70,Web search,"Leading frozen seafood importer. Shrimp, fillets, crab cakes."
Blue Harvest Fisheries,Importer,,,,,blueharvest.com,"New Bedford, MA",40,Web search,"Wild-caught cod, haddock, flounder. Cold chain importer."
High Liner Foods,Importer,,,,,highlinerfoods.com,"Portsmouth, NH",60,Web search,"Major frozen seafood — breaded fillets, burgers. Imports from multiple origins."
Euro-American Worldwide Logistics,Forwarder,,,,,eawlogistics.com,"Miami, FL",70,Web search,"Pharma cold chain logistics specialist. GDP-compliant. Life sciences focus."
Marken (AmerisourceBergen),Forwarder,,,,,marken.com,"Durham, NC",100,Web search,"Clinical trial logistics. Biologics + cell/gene therapy transport. Pharma cold chain."
World Courier,Forwarder,,,,,worldcourier.com,"New York, NY",80,Web search,"AmerisourceBergen subsidiary. Urgent pharma shipments. Clinical trial distribution."
Unicargo,Forwarder,,,,,unicargo.com,"New York, NY",60,Web search,"Best overall FBA freight forwarder 2026. Amazon prep + customs. Ecommerce volume play."
Guided Imports,Forwarder,,,,,guidedimports.com,"New York, NY",30,Web search,"Amazon FBA specialist for new sellers. Ecommerce freight forwarding."
Flexport,Forwarder,,,,,flexport.com,"San Francisco, CA",500,Web search,"Major tech-forward forwarder. Huge FBA/ecomm volume. High container count."
Brew Movers,Forwarder,,,,,brewmovers.com,"Los Angeles, CA",40,Web search,"End-to-end food logistics. Fresh ingredients + perishable specialist."
